ա	76
աբբան	15
աբեղայ	42
աբեղայէ	3
աբեղայէն	3
աբեղայի	8
աբեղային	7
աբեղայով	3
աբեղան	9
աբեղաներ	6
աբեղաները	5
աբեղաներն	5
աբեղաներու	4
աբեղաներուն	3
աբեղաս	2
աբեղեան	25
աբովեան	49
աբովեանդ	2
աբովեանէ	5
աբովեանէն	4
աբովեանը	11
աբովեանի	10
աբովեանին	9
աբովեանիս	2
աբովեանն	11
աբովեաններ	8
աբովեաններէ	2
աբովեանները	6
աբովեաններն	6
աբովեաններով	1
աբովեաններու	6
աբովեաններուն	5
աբովեանով	4
աբովեանս	3
աբրահամ	26
աբրահամեան	2
աբրահամէ	3
աբրահամէն	3
աբրահամը	9
աբրահամի	29
աբրահամին	7
աբրահամն	9
աբրահամներ	6
աբրահամները	5
աբրահամներն	5
աբրահամներու	4
աբրահամներուն	3
աբրահամով	3
աբրահամս	2
ագահ	23
ագահէ	2
ագահը	6
ագահի	19
ագահին	4
ագահն	6
ագահներ	4
ագահները	3
ագահներն	3
ագահներու	2
ագահներուն	2
ագահութեան	2
ագահութիւն	3
ագահութիւնը	2
ագահութիւնի	2
ագահութիւնն	16
ագռաւ	2
ագսէլ	68
ազատ	115
ազատագրած	19
ազատագրածը	4
ազատագրածի	4
ազատագրածն	4
ազատագրածներ	2
ազատագրածները	1
ազատագրածներն	1
ազատագրական	2
ազատագրել	50
ազատագրելդ	6
ազատագրելէ	10
ազատագրելէս	2
ազատագրելը	19
ազատագրելիք	16
ազատագրելիքը	3
ազատագրելիքի	2
ազատագրելիքն	3
ազատագրելն	19
ազատագրելով	8
ազատագրելու	41
ազատագրելուդ	4
ազատագրելուն	3
ազատագրելուս	5
ազատագրելս	7
ազատագրեմ	16
ազատագրեն	25
ազատագրենք	10
ազատագրես	14
ազատագրեր	19
ազատագրեց	22
ազատագրեցէք	9
ազատագրեցի	19
ազատագրեցին	14
ազատագրեցինք	12
ազատագրեցիր	16
ազատագրեցիք	10
ազատագրէ	19
ազատագրէի	9
ազատագրէին	12
ազատագրէինք	5
ազատագրէիր	7
ազատագրէիք	4
ազատագրէր	10
ազատագրէք	8
ազատագրիչ	25
ազատագրող	16
ազատագրողը	3
ազատագրողի	2
ազատագրողն	3
ազատագրուած	21
ազատագրուելու	13
ազատագրուեցաւ	2
ազատագրութեան	15
ազատագրութիւն	3
ազատագրութիւնը	2
ազատագրութիւնի	2
ազատագրութիւնն	2
ազատագրուի	14
ազատագրուիլ	2
ազատագրում	17
ազատագրումը	33
ազատագրումին	2
ազատագրումն	1
ազատած	12
ազատածը	2
ազատածի	1
ազատածն	2
ազատական	27
ազատականութիւն	2
ազատամարտ	3
ազատամարտը	2
ազատամարտի	2
ազատամարտին	13
ազատամարտն	2
ազատատենչ	2
ազատարար	2
ազատդ	11
ազատել	15
ազատելդ	3
ազատելէ	6
ազատելը	13
ազատելիք	10
ազատելն	13
ազատելով	16
ազատելու	35
ազատելուդ	2
ազատելուս	2
ազատելս	4
ազատեմ	11
ազատեն	7
ազատենք	6
ազատես	9
ազատեր	12
ազատեց	15
ազատեցայ	11
ազատեցան	8
ազատեցանք	6
ազատեցար	9
ազատեցաւ	13
ազատեցաք	5
ազատեցէք	6
ազատեցի	13
ազատեցին	9
ազատեցինք	16
ազատեցիր	11
ազատեցիք	6
ազատէ	27
ազատէդ	4
ազատէի	5
ազատէին	9
ազատէինք	2
ազատէիր	4
ազատէիք	1
ազատէն	15
ազատէս	5
ազատէր	23
ազատէք	5
ազատը	31
ազատի	42
ազատիդ	8
ազատիլ	13
ազատիլդ	2
ազատիլը	11
ազատիլն	11
ազատիլս	3
ազատիմ	9
ազատին	25
ազատինդ	2
ազատինը	2
ազատինն	2
ազատինս	2
ազատինք	5
ազատիս	20
ազատիր	9
ազատիք	4
ազատն	31
ազատներ	23
ազատներդ	6
ազատներէ	10
ազատներէն	9
ազատներէս	2
ազատները	20
ազատներն	20
ազատներով	9
ազատներու	19
ազատներուդ	4
ազատներուն	16
ազատներուս	6
ազատներս	8
ազատող	10
ազատով	15
ազատովդ	3
ազատովը	2
ազատովն	2
ազատովս	4
ազատուած	27
ազատուելէ	3
ազատուելիք	6
ազատուելով	2
